3.226382223464353274e+02,3.226382223464353274e+02,3.226382223464354411e+02,3.226382223464354979e+02,3.226382223464354979e+02
3.223617776537444684e+02,3.223617776537444684e+02,3.223617776537444684e+02,3.223617776537444115e+02,3.223617776537444115e+02
3.220853353366420038e+02,3.220853353366420038e+02,3.220853353366419469e+02,3.220853353366419469e+02,3.220853353366419469e+02
3.218089001448660156e+02,3.218089001448660156e+02,3.218089001448660156e+02,3.218089001448660156e+02,3.218089001448660156e+02
3.215324768238680804e+02,3.215324768238680804e+02,3.215324768238680804e+02,3.215324768238680804e+02,3.215324768238680804e+02
3.212560701119531359e+02,3.212560701119531359e+02,3.212560701119531359e+02,3.212560701119531359e+02,3.212560701119531359e+02
3.209796847374158233e+02,3.209796847374158233e+02,3.209796847374158233e+02,3.209796847374158233e+02,3.209796847374158233e+02
3.207033254156719408e+02,3.207033254156719408e+02,3.207033254156719408e+02,3.207033254156719408e+02,3.207033254156719408e+02
3.204269968463830764e+02,3.204269968463830764e+02,3.204269968463830764e+02,3.204269968463830764e+02,3.204269968463830764e+02
3.201507037105743620e+02,3.201507037105743620e+02,3.201507037105743620e+02,3.201507037105743620e+02,3.201507037105743620e+02
3.198744506677434174e+02,3.198744506677434174e+02,3.198744506677434174e+02,3.198744506677434174e+02,3.198744506677434174e+02
3.195982423529609378e+02,3.195982423529609378e+02,3.195982423529609378e+02,3.195982423529609378e+02,3.195982423529609378e+02
3.193220833739616182e+02,3.193220833739616182e+02,3.193220833739616182e+02,3.193220833739616182e+02,3.193220833739616182e+02
3.190459783082243348e+02,3.190459783082243348e+02,3.190459783082243348e+02,3.190459783082243348e+02,3.190459783082243348e+02
3.187699317000444807e+02,3.187699317000444807e+02,3.187699317000444807e+02,3.187699317000444807e+02,3.187699317000444807e+02
3.184939480575956168e+02,3.184939480575956168e+02,3.184939480575956168e+02,3.184939480575956168e+02,3.184939480575956168e+02
3.182180318499825944e+02,3.182180318499825944e+02,3.182180318499825944e+02,3.182180318499825944e+02,3.182180318499825944e+02
3.179421875042878014e+02,3.179421875042878014e+02,3.179421875042878014e+02,3.179421875042878014e+02,3.179421875042878014e+02
3.176664194026102450e+02,3.176664194026102450e+02,3.176664194026102450e+02,3.176664194026102450e+02,3.176664194026102450e+02
3.173907318791006560e+02,3.173907318791006560e+02,3.173907318791005991e+02,3.173907318791005991e+02,3.173907318791005991e+02
3.171151292169940348e+02,3.171151292169940348e+02,3.171151292169940348e+02,3.171151292169940348e+02,3.171151292169940348e+02
3.168396156456421977e+02,3.168396156456421977e+02,3.168396156456421977e+02,3.168396156456421977e+02,3.168396156456421977e+02
3.165641953375491084e+02,3.165641953375491084e+02,3.165641953375491084e+02,3.165641953375491084e+02,3.165641953375491084e+02
3.162888724054128033e+02,3.162888724054128033e+02,3.162888724054128033e+02,3.162888724054128033e+02,3.162888724054128033e+02
3.160136508991758433e+02,3.160136508991758433e+02,3.160136508991758433e+02,3.160136508991758433e+02,3.160136508991758433e+02
3.157385348030915111e+02,3.157385348030915111e+02,3.157385348030914543e+02,3.157385348030914543e+02,3.157385348030914543e+02
3.154635280328061526e+02,3.154635280328061526e+02,3.154635280328060958e+02,3.154635280328060958e+02,3.154635280328060958e+02
3.151886344324655056e+02,3.151886344324655056e+02,3.151886344324654488e+02,3.151886344324654488e+02,3.151886344324654488e+02
3.149138577718484271e+02,3.149138577718484271e+02,3.149138577718484271e+02,3.149138577718484271e+02,3.149138577718484271e+02
